,mean,median,std,min,max,domain
Depersonalizzazione somatica,0.5943722347629796,0.6889,0.32824136208575017,0.0018,0.9976,Esperienze corporee
Esperienza mimetica/risonanza del movimento,0.580013769751693,0.6369,0.3597010717374359,0.0039,0.999,Esperienze corporee
Cambiamento in relazione al genere,0.5269408577878104,0.5289,0.2608066391220175,0.0216,0.9923,Consapevolezza del Sé e Presenza
Scissione dell'Io,0.4937765237020317,0.528,0.35229081182909133,0.0017,0.9967,Consapevolezza del Sé e Presenza
Disintegrazione corporea,0.47541693002257335,0.4507,0.3377375367311883,0.0026,0.9967,Esperienze corporee
Cambiamento morfologico,0.4500984198645598,0.3981,0.3136153971111588,0.0033,0.9939,Esperienze corporee
Depersonalizzazione dissociativa,0.39792167042889387,0.3528,0.26540860793753296,0.0064,0.9876,Consapevolezza del Sé e Presenza
Derealizzazione,0.38141918735891644,0.295,0.2950403054255172,0.0056,0.9871,Consapevolezza del Sé e Presenza
Fenomeni primari di autoriferimento,0.36349525959367945,0.2464,0.3278118388947525,0.0021,0.9937,Riorientamento Esistenziale
Spazializzazione dell'esperienza,0.35475801354401804,0.2292,0.32539769492439313,0.0005,0.9944,Cognitività e flusso della coscienza
Idee magiche,0.3377313769751693,0.1959,0.336918593608516,0.0029,0.9959,Riorientamento Esistenziale
Eco silente del pensiero,0.31764514672686234,0.129,0.35368302428526155,0.0021,0.9983,Cognitività e flusso della coscienza
Incapacità di discriminare tra i modi dell'intenzionalità,0.25979390519187356,0.1296,0.27639267673022666,0.0059,0.9955,Cognitività e flusso della coscienza
Altri stati di depersonalizzazione,0.24937426636568846,0.1516,0.2685856018765281,0.0012,0.9869,Consapevolezza del Sé e Presenza
Discordanza psicofisica,0.24871941309255077,0.1347,0.26454144571334615,0.0004,0.9879,Esperienze corporee
Il proprio campo esperienziale come unica realtà,0.23418148984198647,0.151,0.22426509729501753,0.0021,0.9625,Riorientamento Esistenziale
Cambiamento in relazione all'età,0.20562483069977425,0.1293,0.20980467002199185,0.0008,0.9853,Consapevolezza del Sé e Presenza
Stato d'animo di passività,0.200351467268623,0.0738,0.2591707837955151,0.0002,0.9874,Demarcazione/Transitivismo
Perdita dell'ipseità del pensiero,0.1939295711060948,0.1047,0.23317418557894412,0.0028,0.9938,Cognitività e flusso della coscienza
Confusione dell'identità,0.1836573363431151,0.0853999999999999,0.23239486487644942,0.0034,0.989,Consapevolezza del Sé e Presenza
Distorta prospettiva in prima persona,0.1787410835214447,0.0489,0.26754655421125595,0.0016,0.9915,Consapevolezza del Sé e Presenza
Ansia,0.16606410835214444,0.1101999999999999,0.19140512434996915,0.0008,0.9934,Consapevolezza del Sé e Presenza
Discontinuità del proprio agire,0.16318939051918738,0.0535,0.23309528939246715,0.0003,0.9862,Cognitività e flusso della coscienza
Disturbi motori,0.14459887133182844,0.0206,0.26054957557740305,0.0005,0.9981,Esperienze corporee
Spazializzazione delle esperienze corporee,0.1427076749435666,0.0567999999999999,0.20441363527136192,0.0004,0.9818,Esperienze corporee
Ruminazioni-ossessioni,0.14141467268623026,0.0192999999999999,0.2572975534834505,0.0006,0.9967,Cognitività e flusso della coscienza
Esperienze cenestesiche,0.14065372460496614,0.0452,0.21155050914998122,0.0003,0.9889,Esperienze corporee
Disturbo del linguaggio espressivo,0.12867200902934536,0.0344,0.22357285536972477,0.0005,0.9938,Cognitività e flusso della coscienza
Discordanza tra intenzione ed espressione,0.12334537246049661,0.0291,0.21240379327644007,0.0017,0.9798,Cognitività e flusso della coscienza
Ambivalenza,0.1075869074492099,0.0426,0.16814665883677574,0.0007,0.9738,Cognitività e flusso della coscienza
Pressione del pensiero,0.09751986455981941,0.0055,0.2307145816843651,0.0003,0.9976,Cognitività e flusso della coscienza
Blocco del pensiero,0.09448171557562075,0.0192,0.18962708152987756,0.0008,0.9866,Cognitività e flusso della coscienza
Contatto corporeo vissuto come minaccia,0.09324018058690743,0.0312,0.16005128564924548,0.001,0.992,Demarcazione/Transitivismo
Diminuito senso del Sé di base,0.08412708803611738,0.0437,0.11512974674620444,0.0004,0.8049,Consapevolezza del Sé e Presenza
Diminuita trasparenza della coscienza,0.08391851015801352,0.0381,0.12245523282301639,0.0001,0.8131,Consapevolezza del Sé e Presenza
Sentimento di centralità,0.08180045146726861,0.0243999999999999,0.1623939949399481,0.0003,0.9342,Riorientamento Esistenziale
Disturbo della memoria a breve termine,0.07708668171557562,0.0276,0.13105454316337323,0.0011,0.9175,Cognitività e flusso della coscienza
Ansia ontologica,0.06697652370203158,0.0232,0.1235915541331461,0.0001,0.7521,Consapevolezza del Sé e Presenza
Disturbo dell'iniziativa del pensiero,0.05998577878103836,0.017,0.14060676802198732,0.0003,0.9818,Cognitività e flusso della coscienza
Disturbi dell'attenzione,0.05285033860045147,0.002,0.17286196129834994,0.0002,0.9806,Cognitività e flusso della coscienza
Disturbo dell'esperienza del tempo,0.05194740406320541,0.0175,0.09651009307068785,0.0007,0.98,Cognitività e flusso della coscienza
Perdita del senso comune,0.050979232505643325,0.0105,0.11601274064978716,0.0003,0.9926,Consapevolezza del Sé e Presenza
Il mondo come apparente o illusorio,0.050203611738148975,0.0132,0.10714750578513532,0.0008,0.8256999999999999,Riorientamento Esistenziale
Confusione con la propria immagine riflessa,0.04305778781038374,0.0184,0.08486869443762897,0.0007,0.7337,Demarcazione/Transitivismo
Ipoedonia,0.03852257336343114,0.0134,0.0711878922649598,0.0002,0.627,Consapevolezza del Sé e Presenza
Iperriflessività,0.038387584650112855,0.0127,0.1067648291194861,0.0002,0.8323,Consapevolezza del Sé e Presenza
Altri fenomeni di transitivismo,0.0373433408577878,0.0072,0.10472474682212517,0.0001,0.9772,Demarcazione/Transitivismo
Diminuita vitalità,0.03125327313769751,0.0074,0.09640927818554501,0.0001,0.857,Consapevolezza del Sé e Presenza
Interferenza del pensiero,0.029475395033860038,0.0043,0.10436872789083777,0.0003,0.9332,Cognitività e flusso della coscienza
Confusione con l'altro,0.023883069977426622,0.0038,0.08033766103515315,0.0001,0.9777,Demarcazione/Transitivismo
Sentimento di straordinario potere creativo/insight,0.0161178329571106,0.0031,0.0549656521525968,0.0003,0.6249,Riorientamento Esistenziale
Diminuita presenza,0.015195711060948068,0.0066,0.02763040663297692,0.0001,0.2557999999999999,Consapevolezza del Sé e Presenza
Oggettivazione percettiva del linguaggio interiore,0.013027539503385997,0.0018,0.04914703224327385,0.0004,0.7552,Cognitività e flusso della coscienza
Diminuzione dell'iniziativa,0.01134153498871331,0.0043,0.020913192471689625,0.0001,0.1651,Consapevolezza del Sé e Presenza
Grandiosità solipsistica,0.00962031602708803,0.0024,0.030228145957777453,0.0002,0.3988,Riorientamento Esistenziale
Cambiamento esistenziale o intellettuale,0.007326185101580129,0.0033,0.011981514443291388,0.0003,0.1264,Riorientamento Esistenziale
Fenomeni legati allo specchio,0.0008796839729119633,0.0005,0.0010985769855197168,0.0001,0.0111,Esperienze corporee
