macro-category,id,titolo,testo
Cognitività e flusso della coscienza,1,Interferenza del pensiero,Mi capita che pensieri banali e irrilevanti irrompano improvvisamente interrompendo il filo dei miei pensieri.
Cognitività e flusso della coscienza,2,Perdita dell'ipseità del pensiero,"Ho la sensazione che alcuni miei pensieri siano anonimi o stranamente indescrivibili, come se non fossero generati da me."
Cognitività e flusso della coscienza,3,Pressione del pensiero,"Ho la sensazione che troppi pensieri diversi si accavallino rapidamente nella mia mente, senza che io riesca a controllarli."
Cognitività e flusso della coscienza,4,Blocco del pensiero,"Mi capita che i miei pensieri si blocchino o svaniscano improvvisamente, come se venissero tagliati via."
Cognitività e flusso della coscienza,5,Eco silente del pensiero,Ho la sensazione che i miei pensieri vengano ripetuti automaticamente non appena li penso.
Cognitività e flusso della coscienza,6,Ruminazioni-ossessioni,"Mi capita che certi pensieri o immagini fastidiosi continuino a ripresentarsi nella mia mente, senza che io riesca ad allontanarli."
Cognitività e flusso della coscienza,7,Oggettivazione percettiva del linguaggio interiore,"Ho la sensazione di sentire i miei pensieri ad alta voce, o di vederli scritti nella mente, e temo che anche gli altri possano percepirli."
Cognitività e flusso della coscienza,8,Spazializzazione dell'esperienza,Ho la sensazione di percepire fisicamente i miei pensieri in una precisa zona della testa.
Cognitività e flusso della coscienza,9,Ambivalenza,Ho una persistente difficoltà a decidere anche di fronte a scelte banali della vita quotidiana.
Cognitività e flusso della coscienza,10,Incapacità di discriminare tra i modi dell'intenzionalità,Mi capita di non essere sicuro se qualcosa sia davvero accaduto o sia stato solo frutto della mia immaginazione o di un ricordo.
Cognitività e flusso della coscienza,11,Disturbo dell'iniziativa del pensiero,"Faccio fatica a pensare o a organizzare i miei pensieri, come se non fosse più un processo automatico."
Cognitività e flusso della coscienza,12,Disturbi dell'attenzione,Mi capita che un dettaglio dell'ambiente catturi così tanto la mia attenzione da farmi perdere il filo di una conversazione o di ciò che stavo facendo.
Cognitività e flusso della coscienza,13,Disturbo della memoria a breve termine,Mi capita di dimenticare rapidamente cose che ho appena fatto o detto.
Cognitività e flusso della coscienza,14,Disturbo dell'esperienza del tempo,"Ho la sensazione che il tempo scorra in modo anomalo, più lento, più veloce o addirittura fermo."
Cognitività e flusso della coscienza,15,Discontinuità del proprio agire,Mi capita di non ricordare come sono arrivato a fare o a trovarmi in una certa situazione.
