Variable,r,p_value,N,Significant
Pensieri generati da altri,0.028,0.9207,15,False
Parole lette da qualcun altro,-0.312,0.2572,15,False
Pensieri come scritti,-0.097,0.7309,15,False
Pensieri ripetuti o echeggianti,0.052,0.853,15,False
Perdita di contatto con se stessi,-0.012,0.9655,15,False
Non essere più la stessa persona,-0.133,0.6356,15,False
Vuoto interiore,-0.032,0.9102,15,False
Pensare a se stessi come un'altra persona,0.074,0.7944,15,False
Disconnessione da sé e dai propri pensieri,0.095,0.7353,15,False
Sensazione di non essere l'autore delle proprie azioni,0.477,0.0722,15,False
Dubbio tra dire e pensare,0.42,0.1188,15,False
Guardarsi dall'esterno,0.356,0.1922,15,False
Guardarsi da fuori dal corpo,0.104,0.7134,15,False
Perdita di controllo del corpo,0.543,0.0366,15,True
