Variable,r,p_value,N,Significant
Pensieri generati da altri,0.019,0.9619,9,False
Parole lette da qualcun altro,0.45,0.2244,9,False
Pensieri come scritti,-0.525,0.1466,9,False
Pensieri ripetuti o echeggianti,-0.301,0.4313,9,False
Perdita di contatto con se stessi,0.138,0.7243,9,False
Non essere più la stessa persona,-0.312,0.414,9,False
Vuoto interiore,,,9,False
Pensare a se stessi come un'altra persona,-0.55,0.125,9,False
Disconnessione da sé e dai propri pensieri,0.138,0.7243,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.55,0.125,9,False
Dubbio tra dire e pensare,-0.275,0.4739,9,False
Guardarsi dall'esterno,0.0,1.0,9,False
Guardarsi da fuori dal corpo,0.104,0.7901,9,False
Perdita di controllo del corpo,-0.416,0.2657,9,False
