Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.128,0.6767,13,False
Parole lette da qualcun altro,-0.38,0.2007,13,False
Pensieri come scritti,-0.425,0.1482,13,False
Pensieri ripetuti o echeggianti,-0.259,0.3922,13,False
Perdita di contatto con se stessi,-0.609,0.027,13,True
Non essere più la stessa persona,-0.769,0.0021,13,True
Vuoto interiore,0.306,0.3096,13,False
Pensare a se stessi come un'altra persona,-0.318,0.2896,13,False
Disconnessione da sé e dai propri pensieri,0.083,0.7874,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.271,0.3697,13,False
Dubbio tra dire e pensare,-0.23,0.4491,13,False
Guardarsi dall'esterno,-0.029,0.9262,13,False
Guardarsi da fuori dal corpo,0.235,0.44,13,False
Perdita di controllo del corpo,-0.032,0.9181,13,False
