Variable,r,p_value,N,Significant
Pensieri generati da altri,0.246,0.4176,13,False
Parole lette da qualcun altro,0.186,0.5422,13,False
Pensieri come scritti,-0.012,0.9693,13,False
Pensieri ripetuti o echeggianti,-0.05,0.8721,13,False
Perdita di contatto con se stessi,0.314,0.2958,13,False
Non essere più la stessa persona,-0.215,0.4799,13,False
Vuoto interiore,-0.22,0.4692,13,False
Pensare a se stessi come un'altra persona,-0.042,0.8905,13,False
Disconnessione da sé e dai propri pensieri,0.462,0.1121,13,False
Sensazione di non essere l'autore delle proprie azioni,0.081,0.7934,13,False
Dubbio tra dire e pensare,-0.174,0.5695,13,False
Guardarsi dall'esterno,0.313,0.2976,13,False
Guardarsi da fuori dal corpo,0.037,0.9039,13,False
Perdita di controllo del corpo,0.155,0.6123,13,False
