Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.025,0.9386,12,False
Parole lette da qualcun altro,-0.15,0.6421,12,False
Pensieri come scritti,-0.025,0.9386,12,False
Pensieri ripetuti o echeggianti,0.1,0.7575,12,False
Perdita di contatto con se stessi,0.1,0.7575,12,False
Non essere più la stessa persona,0.1,0.7575,12,False
Vuoto interiore,-0.499,0.0984,12,False
Pensare a se stessi come un'altra persona,-0.339,0.2804,12,False
Disconnessione da sé e dai propri pensieri,0.235,0.4622,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.15,0.6421,12,False
Dubbio tra dire e pensare,-0.157,0.6268,12,False
Guardarsi dall'esterno,0.0,1.0,12,False
Guardarsi da fuori dal corpo,0.142,0.6595,12,False
Perdita di controllo del corpo,0.1,0.7575,12,False
