Variable,r,p_value,N,Significant
Pensieri generati da altri,0.164,0.6095,12,False
Parole lette da qualcun altro,-0.239,0.4546,12,False
Pensieri come scritti,-0.078,0.8094,12,False
Pensieri ripetuti o echeggianti,0.061,0.8518,12,False
Perdita di contatto con se stessi,-0.227,0.4772,12,False
Non essere più la stessa persona,-0.284,0.3714,12,False
Vuoto interiore,-0.453,0.1392,12,False
Pensare a se stessi come un'altra persona,-0.239,0.4546,12,False
Disconnessione da sé e dai propri pensieri,-0.33,0.2943,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.284,0.3714,12,False
Dubbio tra dire e pensare,0.136,0.6734,12,False
Guardarsi dall'esterno,-0.025,0.9389,12,False
Guardarsi da fuori dal corpo,-0.312,0.3234,12,False
Perdita di controllo del corpo,0.067,0.8364,12,False
