Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.121,0.7082,12,False
Parole lette da qualcun altro,0.435,0.1573,12,False
Pensieri come scritti,0.343,0.2745,12,False
Pensieri ripetuti o echeggianti,0.333,0.2895,12,False
Perdita di contatto con se stessi,0.337,0.2839,12,False
Non essere più la stessa persona,-0.002,0.9952,12,False
Vuoto interiore,0.0,1.0,12,False
Pensare a se stessi come un'altra persona,0.121,0.7082,12,False
Disconnessione da sé e dai propri pensieri,0.295,0.3517,12,False
Sensazione di non essere l'autore delle proprie azioni,0.0,1.0,12,False
Dubbio tra dire e pensare,0.362,0.2469,12,False
Disallineamento tra espressione e vissuto interno,0.219,0.4946,12,False
Guardarsi da fuori dal corpo,-0.084,0.7958,12,False
Perdita di controllo del corpo,0.343,0.2745,12,False
