Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.099,0.646,24,False
Parole lette da qualcun altro,0.132,0.5381,24,False
Pensieri come scritti,-0.217,0.308,24,False
Pensieri ripetuti o echeggianti,-0.26,0.2192,24,False
Perdita di contatto con se stessi,0.113,0.5991,24,False
Non essere più la stessa persona,0.103,0.6328,24,False
Vuoto interiore,0.023,0.9162,24,False
Pensare a se stessi come un'altra persona,0.029,0.8919,24,False
Disconnessione da sé e dai propri pensieri,-0.113,0.5984,24,False
Sensazione di non essere l'autore delle proprie azioni,0.23,0.2805,24,False
Dubbio tra dire e pensare,0.225,0.2904,24,False
Guardarsi dall'esterno,-0.025,0.9086,24,False
Guardarsi da fuori dal corpo,0.068,0.7531,24,False
Perdita di controllo del corpo,-0.002,0.9932,24,False
