Variable,r,p_value,N,Significant
Pensieri generati da altri,0.043,0.8168,32,False
Parole lette da qualcun altro,-0.222,0.2213,32,False
Pensieri come scritti,-0.017,0.9269,32,False
Pensieri ripetuti o echeggianti,-0.162,0.3758,32,False
Perdita di contatto con se stessi,-0.023,0.9009,32,False
Non essere più la stessa persona,0.024,0.8977,32,False
Vuoto interiore,-0.114,0.5355,32,False
Pensare a se stessi come un'altra persona,-0.079,0.6669,32,False
Disconnessione da sé e dai propri pensieri,-0.223,0.2203,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.032,0.8602,32,False
Dubbio tra dire e pensare,-0.158,0.3883,32,False
Guardarsi dall'esterno,-0.159,0.384,32,False
Guardarsi da fuori dal corpo,-0.129,0.4816,32,False
Perdita di controllo del corpo,-0.266,0.1406,32,False
