Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.306,0.2316,17,False
Parole lette da qualcun altro,-0.318,0.2132,17,False
Pensieri come scritti,0.143,0.5827,17,False
Pensieri ripetuti o echeggianti,0.229,0.3765,17,False
Perdita di contatto con se stessi,-0.376,0.1366,17,False
Non essere più la stessa persona,0.141,0.5881,17,False
Vuoto interiore,0.234,0.3654,17,False
Pensare a se stessi come un'altra persona,-0.05,0.8499,17,False
Disconnessione da sé e dai propri pensieri,-0.002,0.9939,17,False
Sensazione di non essere l'autore delle proprie azioni,-0.037,0.8869,17,False
Dubbio tra dire e pensare,-0.452,0.0683,17,False
Guardarsi dall'esterno,-0.209,0.4209,17,False
Guardarsi da fuori dal corpo,0.33,0.1956,17,False
Perdita di controllo del corpo,-0.46,0.0631,17,False
