Variable,r,p_value,N,Significant
Pensieri generati da altri,0.169,0.5321,16,False
Parole lette da qualcun altro,-0.157,0.5608,16,False
Pensieri come scritti,0.228,0.3959,16,False
Pensieri ripetuti o echeggianti,-0.031,0.908,16,False
Perdita di contatto con se stessi,-0.041,0.8796,16,False
Non essere più la stessa persona,-0.315,0.2346,16,False
Vuoto interiore,-0.044,0.8713,16,False
Pensare a se stessi come un'altra persona,-0.157,0.5608,16,False
Disconnessione da sé e dai propri pensieri,-0.14,0.6062,16,False
Sensazione di non essere l'autore delle proprie azioni,-0.401,0.1235,16,False
Dubbio tra dire e pensare,,,16,False
Guardarsi dall'esterno,-0.157,0.5608,16,False
Guardarsi da fuori dal corpo,-0.122,0.6523,16,False
Perdita di controllo del corpo,-0.099,0.7162,16,False
