Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.011,0.97,14,False
Parole lette da qualcun altro,0.117,0.6902,14,False
Pensieri come scritti,-0.076,0.7971,14,False
Pensieri ripetuti o echeggianti,-0.098,0.738,14,False
Perdita di contatto con se stessi,0.327,0.2537,14,False
Non essere più la stessa persona,-0.215,0.4614,14,False
Vuoto interiore,0.349,0.2215,14,False
Pensare a se stessi come un'altra persona,-0.122,0.6772,14,False
Disconnessione da sé e dai propri pensieri,0.045,0.8791,14,False
Sensazione di non essere l'autore delle proprie azioni,-0.025,0.9329,14,False
Dubbio tra dire e pensare,0.067,0.8207,14,False
Guardarsi dall'esterno,0.101,0.7323,14,False
Guardarsi da fuori dal corpo,-0.117,0.6906,14,False
Perdita di controllo del corpo,0.272,0.3465,14,False
