Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.353,0.2876,11,False
Parole lette da qualcun altro,-0.01,0.9771,11,False
Pensieri come scritti,-0.085,0.8039,11,False
Pensieri ripetuti o echeggianti,-0.398,0.2252,11,False
Perdita di contatto con se stessi,0.192,0.571,11,False
Non essere più la stessa persona,-0.672,0.0234,11,True
Vuoto interiore,-0.112,0.7429,11,False
Pensare a se stessi come un'altra persona,-0.075,0.827,11,False
Disconnessione da sé e dai propri pensieri,-0.203,0.5494,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.262,0.4369,11,False
Dubbio tra dire e pensare,-0.556,0.076,11,False
Guardarsi dall'esterno,-0.075,0.827,11,False
Guardarsi da fuori dal corpo,0.014,0.9685,11,False
Perdita di controllo del corpo,0.393,0.232,11,False
