Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.231,0.4082,15,False
Parole lette da qualcun altro,-0.253,0.3626,15,False
Pensieri come scritti,-0.132,0.6392,15,False
Pensieri ripetuti o echeggianti,0.01,0.9728,15,False
Perdita di contatto con se stessi,0.2,0.4754,15,False
Non essere più la stessa persona,-0.268,0.3333,15,False
Vuoto interiore,0.197,0.4809,15,False
Pensare a se stessi come un'altra persona,-0.024,0.9312,15,False
Disconnessione da sé e dai propri pensieri,0.293,0.2891,15,False
Sensazione di non essere l'autore delle proprie azioni,0.361,0.1855,15,False
Dubbio tra dire e pensare,0.054,0.8491,15,False
Guardarsi dall'esterno,0.237,0.3945,15,False
Guardarsi da fuori dal corpo,0.062,0.825,15,False
Perdita di controllo del corpo,0.333,0.2255,15,False
