Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.243,0.5282,9,False
Parole lette da qualcun altro,-0.358,0.3444,9,False
Pensieri come scritti,-0.358,0.3444,9,False
Pensieri ripetuti o echeggianti,0.0,1.0,9,False
Perdita di contatto con se stessi,0.023,0.9533,9,False
Non essere più la stessa persona,-0.215,0.5782,9,False
Vuoto interiore,-0.046,0.9058,9,False
Pensare a se stessi come un'altra persona,-0.504,0.1663,9,False
Disconnessione da sé e dai propri pensieri,0.412,0.271,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.304,0.4258,9,False
Dubbio tra dire e pensare,-0.06,0.8781,9,False
Guardarsi dall'esterno,-0.13,0.7388,9,False
Guardarsi da fuori dal corpo,-0.069,0.8605,9,False
Perdita di controllo del corpo,0.261,0.4977,9,False
