Variable,r,p_value,N,Significant
Pensieri generati da altri,0.354,0.2354,13,False
Parole lette da qualcun altro,0.021,0.9462,13,False
Pensieri come scritti,0.204,0.5038,13,False
Pensieri ripetuti o echeggianti,-0.072,0.8161,13,False
Perdita di contatto con se stessi,0.586,0.0354,13,True
Non essere più la stessa persona,-0.051,0.8696,13,False
Vuoto interiore,0.344,0.2492,13,False
Pensare a se stessi come un'altra persona,0.192,0.5303,13,False
Disconnessione da sé e dai propri pensieri,-0.02,0.9494,13,False
Sensazione di non essere l'autore delle proprie azioni,0.059,0.8477,13,False
Dubbio tra dire e pensare,0.488,0.091,13,False
Guardarsi dall'esterno,0.135,0.6607,13,False
Guardarsi da fuori dal corpo,-0.081,0.7926,13,False
Perdita di controllo del corpo,0.363,0.2222,13,False
