Variable,r,p_value,N,Significant
Pensieri generati da altri,0.191,0.5518,12,False
Parole lette da qualcun altro,0.173,0.5903,12,False
Pensieri come scritti,0.195,0.5444,12,False
Pensieri ripetuti o echeggianti,0.48,0.1142,12,False
Perdita di contatto con se stessi,0.096,0.7661,12,False
Non essere più la stessa persona,-0.107,0.7414,12,False
Vuoto interiore,-0.177,0.5819,12,False
Pensare a se stessi come un'altra persona,0.173,0.5903,12,False
Disconnessione da sé e dai propri pensieri,-0.032,0.9217,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.107,0.7414,12,False
Dubbio tra dire e pensare,0.451,0.1411,12,False
Guardarsi dall'esterno,-0.096,0.7661,12,False
Guardarsi da fuori dal corpo,0.03,0.9269,12,False
Perdita di controllo del corpo,0.42,0.1745,12,False
