Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.255,0.379,14,False
Parole lette da qualcun altro,-0.382,0.1779,14,False
Pensieri come scritti,-0.201,0.4917,14,False
Pensieri ripetuti o echeggianti,-0.101,0.732,14,False
Perdita di contatto con se stessi,0.301,0.2958,14,False
Non essere più la stessa persona,-0.031,0.9171,14,False
Vuoto interiore,0.052,0.8595,14,False
Pensare a se stessi come un'altra persona,-0.021,0.9431,14,False
Disconnessione da sé e dai propri pensieri,0.302,0.2941,14,False
Sensazione di non essere l'autore delle proprie azioni,0.394,0.1635,14,False
Dubbio tra dire e pensare,0.572,0.0325,14,True
Guardarsi dall'esterno,0.32,0.2642,14,False
Guardarsi da fuori dal corpo,0.052,0.8595,14,False
Perdita di controllo del corpo,0.481,0.0813,14,False
