Variable,r,p_value,N,Significant
Pensieri generati da altri,0.0,1.0,9,False
Parole lette da qualcun altro,0.053,0.8924,9,False
Pensieri come scritti,-0.27,0.4822,9,False
Pensieri ripetuti o echeggianti,0.028,0.9434,9,False
Perdita di contatto con se stessi,0.138,0.7243,9,False
Non essere più la stessa persona,-0.104,0.7901,9,False
Vuoto interiore,,,9,False
Pensare a se stessi come un'altra persona,-0.275,0.4739,9,False
Disconnessione da sé e dai propri pensieri,0.138,0.7243,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.275,0.4739,9,False
Dubbio tra dire e pensare,0.0,1.0,9,False
Guardarsi dall'esterno,-0.138,0.7243,9,False
Guardarsi da fuori dal corpo,0.0,1.0,9,False
Perdita di controllo del corpo,-0.728,0.0263,9,True
