Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.447,0.2275,9,False
Parole lette da qualcun altro,-0.347,0.3596,9,False
Pensieri come scritti,-0.347,0.3596,9,False
Pensieri ripetuti o echeggianti,-0.173,0.6559,9,False
Perdita di contatto con se stessi,-0.274,0.4758,9,False
Non essere più la stessa persona,0.019,0.9621,9,False
Vuoto interiore,-0.526,0.1461,9,False
Pensare a se stessi come un'altra persona,0.046,0.9072,9,False
Disconnessione da sé e dai propri pensieri,0.037,0.9242,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.087,0.8247,9,False
Dubbio tra dire e pensare,0.09,0.8186,9,False
Guardarsi dall'esterno,0.508,0.1627,9,False
Guardarsi da fuori dal corpo,-0.274,0.4758,9,False
Perdita di controllo del corpo,-0.173,0.6559,9,False
