Variable,r,p_value,N,Significant
Pensieri generati da altri,0.092,0.7761,12,False
Parole lette da qualcun altro,-0.206,0.5216,12,False
Pensieri come scritti,-0.271,0.3936,12,False
Pensieri ripetuti o echeggianti,-0.206,0.5198,12,False
Perdita di contatto con se stessi,-0.494,0.1027,12,False
Non essere più la stessa persona,-0.811,0.0014,12,True
Vuoto interiore,0.053,0.8698,12,False
Pensare a se stessi come un'altra persona,-0.084,0.7954,12,False
Disconnessione da sé e dai propri pensieri,0.147,0.6476,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.141,0.6614,12,False
Dubbio tra dire e pensare,-0.154,0.6324,12,False
Guardarsi dall'esterno,0.163,0.6138,12,False
Guardarsi da fuori dal corpo,0.358,0.2532,12,False
Perdita di controllo del corpo,0.024,0.9418,12,False
