Variable,r,p_value,N,Significant
Pensieri generati da altri,0.544,0.0837,11,False
Parole lette da qualcun altro,0.234,0.4893,11,False
Pensieri come scritti,0.305,0.3618,11,False
Pensieri ripetuti o echeggianti,0.0,1.0,11,False
Perdita di contatto con se stessi,0.409,0.2114,11,False
Non essere più la stessa persona,-0.155,0.649,11,False
Vuoto interiore,0.065,0.8487,11,False
Pensare a se stessi come un'altra persona,0.234,0.4893,11,False
Disconnessione da sé e dai propri pensieri,0.309,0.3546,11,False
Sensazione di non essere l'autore delle proprie azioni,0.124,0.717,11,False
Dubbio tra dire e pensare,0.265,0.4303,11,False
Guardarsi dall'esterno,0.294,0.3805,11,False
Guardarsi da fuori dal corpo,0.015,0.964,11,False
Perdita di controllo del corpo,-0.03,0.9297,11,False
