Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.331,0.3495,10,False
Parole lette da qualcun altro,-0.429,0.216,10,False
Pensieri come scritti,-0.286,0.4231,10,False
Pensieri ripetuti o echeggianti,0.392,0.2631,10,False
Perdita di contatto con se stessi,-0.32,0.3669,10,False
Non essere più la stessa persona,-0.525,0.1188,10,False
Vuoto interiore,-0.179,0.6212,10,False
Pensare a se stessi come un'altra persona,-0.455,0.186,10,False
Disconnessione da sé e dai propri pensieri,-0.286,0.4231,10,False
Sensazione di non essere l'autore delle proprie azioni,-0.091,0.8026,10,False
Dubbio tra dire e pensare,-0.408,0.2416,10,False
Disallineamento tra espressione e vissuto interno,-0.165,0.6484,10,False
Guardarsi da fuori dal corpo,-0.038,0.9165,10,False
Perdita di controllo del corpo,-0.408,0.2416,10,False
