Variable,r,p_value,N,Significant
Pensieri generati da altri,0.121,0.7239,11,False
Parole lette da qualcun altro,-0.529,0.094,11,False
Pensieri come scritti,-0.327,0.327,11,False
Pensieri ripetuti o echeggianti,-0.093,0.7856,11,False
Perdita di contatto con se stessi,-0.414,0.2055,11,False
Non essere più la stessa persona,-0.31,0.3534,11,False
Vuoto interiore,-0.529,0.094,11,False
Pensare a se stessi come un'altra persona,-0.529,0.094,11,False
Disconnessione da sé e dai propri pensieri,-0.449,0.1654,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.31,0.3534,11,False
Dubbio tra dire e pensare,-0.018,0.9583,11,False
Guardarsi dall'esterno,-0.121,0.724,11,False
Guardarsi da fuori dal corpo,-0.697,0.0171,11,True
Perdita di controllo del corpo,0.121,0.724,11,False
