Variable,r,p_value,N,Significant
Pensieri generati da altri,0.169,0.5989,12,False
Parole lette da qualcun altro,0.121,0.7082,12,False
Pensieri come scritti,0.074,0.8202,12,False
Pensieri ripetuti o echeggianti,0.256,0.421,12,False
Perdita di contatto con se stessi,0.086,0.791,12,False
Non essere più la stessa persona,-0.234,0.4645,12,False
Vuoto interiore,0.097,0.7635,12,False
Pensare a se stessi come un'altra persona,-0.145,0.6528,12,False
Disconnessione da sé e dai propri pensieri,0.219,0.494,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.314,0.3196,12,False
Dubbio tra dire e pensare,0.263,0.4087,12,False
Disallineamento tra espressione e vissuto interno,0.131,0.6843,12,False
Guardarsi da fuori dal corpo,-0.14,0.6652,12,False
Perdita di controllo del corpo,0.074,0.8202,12,False
