Variable,r,p_value,N,Significant
Pensieri generati da altri,0.064,0.7268,32,False
Parole lette da qualcun altro,-0.066,0.7178,32,False
Pensieri come scritti,-0.023,0.8994,32,False
Pensieri ripetuti o echeggianti,0.113,0.5366,32,False
Perdita di contatto con se stessi,0.197,0.2787,32,False
Non essere più la stessa persona,0.053,0.7745,32,False
Vuoto interiore,0.077,0.6744,32,False
Pensare a se stessi come un'altra persona,-0.098,0.5951,32,False
Disconnessione da sé e dai propri pensieri,0.21,0.248,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.128,0.4835,32,False
Dubbio tra dire e pensare,0.077,0.6766,32,False
Guardarsi dall'esterno,-0.193,0.2894,32,False
Guardarsi da fuori dal corpo,-0.122,0.506,32,False
Perdita di controllo del corpo,-0.063,0.7331,32,False
