Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.28,0.2765,17,False
Parole lette da qualcun altro,-0.292,0.2557,17,False
Pensieri come scritti,0.073,0.7799,17,False
Pensieri ripetuti o echeggianti,0.077,0.7683,17,False
Perdita di contatto con se stessi,-0.702,0.0017,17,True
Non essere più la stessa persona,0.002,0.9943,17,False
Vuoto interiore,-0.037,0.8864,17,False
Pensare a se stessi come un'altra persona,0.057,0.8292,17,False
Disconnessione da sé e dai propri pensieri,0.061,0.8154,17,False
Sensazione di non essere l'autore delle proprie azioni,-0.124,0.6344,17,False
Dubbio tra dire e pensare,-0.424,0.0897,17,False
Guardarsi dall'esterno,-0.378,0.1349,17,False
Guardarsi da fuori dal corpo,-0.184,0.4787,17,False
Perdita di controllo del corpo,-0.422,0.0918,17,False
