Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.05,0.8645,14,False
Parole lette da qualcun altro,-0.008,0.9777,14,False
Pensieri come scritti,-0.241,0.4063,14,False
Pensieri ripetuti o echeggianti,-0.229,0.43,14,False
Perdita di contatto con se stessi,0.27,0.3511,14,False
Non essere più la stessa persona,-0.367,0.1964,14,False
Vuoto interiore,0.15,0.6088,14,False
Pensare a se stessi come un'altra persona,-0.257,0.3758,14,False
Disconnessione da sé e dai propri pensieri,0.0,1.0,14,False
Sensazione di non essere l'autore delle proprie azioni,-0.161,0.5826,14,False
Dubbio tra dire e pensare,0.023,0.9391,14,False
Guardarsi dall'esterno,-0.115,0.6947,14,False
Guardarsi da fuori dal corpo,-0.266,0.3584,14,False
Perdita di controllo del corpo,-0.021,0.9434,14,False
