Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.083,0.7978,12,False
Parole lette da qualcun altro,-0.164,0.6111,12,False
Pensieri come scritti,-0.218,0.4962,12,False
Pensieri ripetuti o echeggianti,-0.363,0.2461,12,False
Perdita di contatto con se stessi,0.0,1.0,12,False
Non essere più la stessa persona,0.07,0.8285,12,False
Vuoto interiore,0.319,0.3125,12,False
Pensare a se stessi come un'altra persona,-0.196,0.5422,12,False
Disconnessione da sé e dai propri pensieri,-0.45,0.142,12,False
Sensazione di non essere l'autore delle proprie azioni,0.0,1.0,12,False
Dubbio tra dire e pensare,0.056,0.8631,12,False
Guardarsi dall'esterno,0.481,0.1132,12,False
Guardarsi da fuori dal corpo,0.198,0.5367,12,False
Perdita di controllo del corpo,-0.114,0.7251,12,False
