Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.379,0.164,15,False
Parole lette da qualcun altro,-0.242,0.3855,15,False
Pensieri come scritti,-0.052,0.8548,15,False
Pensieri ripetuti o echeggianti,-0.242,0.3858,15,False
Perdita di contatto con se stessi,0.39,0.151,15,False
Non essere più la stessa persona,-0.124,0.6591,15,False
Vuoto interiore,0.077,0.784,15,False
Pensare a se stessi come un'altra persona,-0.012,0.9655,15,False
Disconnessione da sé e dai propri pensieri,0.444,0.0972,15,False
Sensazione di non essere l'autore delle proprie azioni,0.352,0.198,15,False
Dubbio tra dire e pensare,0.219,0.4326,15,False
Guardarsi dall'esterno,0.281,0.3101,15,False
Guardarsi da fuori dal corpo,0.01,0.972,15,False
Perdita di controllo del corpo,0.414,0.1255,15,False
