Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.562,0.1157,9,False
Parole lette da qualcun altro,-0.719,0.0291,9,True
Pensieri come scritti,-0.719,0.0291,9,True
Pensieri ripetuti o echeggianti,-0.31,0.4175,9,False
Perdita di contatto con se stessi,-0.023,0.9525,9,False
Non essere più la stessa persona,-0.295,0.4409,9,False
Vuoto interiore,-0.306,0.423,9,False
Pensare a se stessi come un'altra persona,-0.583,0.0996,9,False
Disconnessione da sé e dai propri pensieri,0.495,0.1756,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.398,0.2886,9,False
Dubbio tra dire e pensare,-0.453,0.221,9,False
Guardarsi dall'esterno,-0.453,0.221,9,False
Guardarsi da fuori dal corpo,-0.093,0.8114,9,False
Perdita di controllo del corpo,-0.044,0.91,9,False
