Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.152,0.621,13,False
Parole lette da qualcun altro,-0.224,0.4614,13,False
Pensieri come scritti,-0.201,0.5099,13,False
Pensieri ripetuti o echeggianti,-0.487,0.0915,13,False
Perdita di contatto con se stessi,-0.403,0.1722,13,False
Non essere più la stessa persona,-0.729,0.0047,13,True
Vuoto interiore,-0.027,0.9299,13,False
Pensare a se stessi come un'altra persona,-0.344,0.2499,13,False
Disconnessione da sé e dai propri pensieri,0.255,0.4011,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.3,0.3197,13,False
Dubbio tra dire e pensare,-0.244,0.4215,13,False
Guardarsi dall'esterno,-0.057,0.8523,13,False
Guardarsi da fuori dal corpo,0.304,0.3132,13,False
Perdita di controllo del corpo,0.009,0.9765,13,False
