Variable,r,p_value,N,Significant
Pensieri generati da altri,0.14,0.6492,13,False
Parole lette da qualcun altro,-0.124,0.6864,13,False
Pensieri come scritti,-0.022,0.9426,13,False
Pensieri ripetuti o echeggianti,-0.198,0.5162,13,False
Perdita di contatto con se stessi,0.134,0.6614,13,False
Non essere più la stessa persona,-0.082,0.7891,13,False
Vuoto interiore,0.024,0.9368,13,False
Pensare a se stessi come un'altra persona,-0.275,0.3624,13,False
Disconnessione da sé e dai propri pensieri,0.198,0.5174,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.155,0.6135,13,False
Dubbio tra dire e pensare,-0.215,0.4805,13,False
Guardarsi dall'esterno,0.045,0.8848,13,False
Guardarsi da fuori dal corpo,-0.18,0.5571,13,False
Perdita di controllo del corpo,-0.123,0.6886,13,False
