Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.323,0.3627,10,False
Parole lette da qualcun altro,-0.863,0.0013,10,True
Pensieri come scritti,-0.647,0.043,10,True
Pensieri ripetuti o echeggianti,-0.105,0.7727,10,False
Perdita di contatto con se stessi,0.03,0.9337,10,False
Non essere più la stessa persona,-0.529,0.1162,10,False
Vuoto interiore,0.144,0.6917,10,False
Pensare a se stessi come un'altra persona,-0.811,0.0044,10,True
Disconnessione da sé e dai propri pensieri,0.216,0.5493,10,False
Sensazione di non essere l'autore delle proprie azioni,-0.095,0.7941,10,False
Dubbio tra dire e pensare,-0.323,0.3627,10,False
Disallineamento tra espressione e vissuto interno,0.129,0.7227,10,False
Guardarsi da fuori dal corpo,-0.423,0.2232,10,False
Perdita di controllo del corpo,-0.323,0.3627,10,False
