Variable,r,p_value,N,Significant
Pensieri generati da altri,0.197,0.5396,12,False
Parole lette da qualcun altro,-0.049,0.8793,12,False
Pensieri come scritti,0.246,0.4406,12,False
Pensieri ripetuti o echeggianti,0.148,0.6469,12,False
Perdita di contatto con se stessi,0.148,0.6469,12,False
Non essere più la stessa persona,0.148,0.6469,12,False
Vuoto interiore,-0.148,0.6469,12,False
Pensare a se stessi come un'altra persona,-0.335,0.2877,12,False
Disconnessione da sé e dai propri pensieri,-0.026,0.9367,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.049,0.8793,12,False
Dubbio tra dire e pensare,-0.077,0.8115,12,False
Guardarsi dall'esterno,0.252,0.4291,12,False
Guardarsi da fuori dal corpo,0.196,0.5412,12,False
Perdita di controllo del corpo,0.148,0.6469,12,False
