Variable,r,p_value,N,Significant
Pensieri generati da altri,0.03,0.9273,12,False
Parole lette da qualcun altro,-0.18,0.5757,12,False
Pensieri come scritti,-0.131,0.6848,12,False
Pensieri ripetuti o echeggianti,0.182,0.5715,12,False
Perdita di contatto con se stessi,-0.015,0.9623,12,False
Non essere più la stessa persona,-0.163,0.6128,12,False
Vuoto interiore,-0.18,0.5757,12,False
Pensare a se stessi come un'altra persona,-0.18,0.5757,12,False
Disconnessione da sé e dai propri pensieri,-0.365,0.2439,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.163,0.6128,12,False
Dubbio tra dire e pensare,0.004,0.9897,12,False
Guardarsi dall'esterno,0.061,0.85,12,False
Guardarsi da fuori dal corpo,-0.186,0.563,12,False
Perdita di controllo del corpo,0.467,0.1257,12,False
