Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.148,0.6469,12,False
Parole lette da qualcun altro,0.246,0.4405,12,False
Pensieri come scritti,0.25,0.4339,12,False
Pensieri ripetuti o echeggianti,0.392,0.208,12,False
Perdita di contatto con se stessi,0.309,0.3277,12,False
Non essere più la stessa persona,-0.046,0.888,12,False
Vuoto interiore,0.0,1.0,12,False
Pensare a se stessi come un'altra persona,0.025,0.9395,12,False
Disconnessione da sé e dai propri pensieri,0.153,0.6359,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.197,0.5395,12,False
Dubbio tra dire e pensare,0.387,0.2141,12,False
Disallineamento tra espressione e vissuto interno,0.0,1.0,12,False
Guardarsi da fuori dal corpo,0.028,0.9301,12,False
Perdita di controllo del corpo,0.25,0.4339,12,False
