Variable,r,p_value,N,Significant
Pensieri generati da altri,0.155,0.3888,33,False
Parole lette da qualcun altro,-0.077,0.6686,33,False
Pensieri come scritti,-0.116,0.5203,33,False
Pensieri ripetuti o echeggianti,0.12,0.5074,33,False
Perdita di contatto con se stessi,0.271,0.1275,33,False
Non essere più la stessa persona,-0.085,0.6396,33,False
Vuoto interiore,-0.129,0.4737,33,False
Pensare a se stessi come un'altra persona,-0.154,0.3909,33,False
Disconnessione da sé e dai propri pensieri,0.066,0.7169,33,False
Sensazione di non essere l'autore delle proprie azioni,-0.251,0.1589,33,False
Dubbio tra dire e pensare,-0.238,0.1818,33,False
Guardarsi dall'esterno,0.031,0.8643,33,False
Guardarsi da fuori dal corpo,-0.124,0.4933,33,False
Perdita di controllo del corpo,0.015,0.9337,33,False
