Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.379,0.0681,24,False
Parole lette da qualcun altro,-0.005,0.9804,24,False
Pensieri come scritti,-0.258,0.2231,24,False
Pensieri ripetuti o echeggianti,-0.37,0.0752,24,False
Perdita di contatto con se stessi,-0.155,0.4682,24,False
Non essere più la stessa persona,0.05,0.8149,24,False
Vuoto interiore,-0.105,0.6264,24,False
Pensare a se stessi come un'altra persona,-0.036,0.8689,24,False
Disconnessione da sé e dai propri pensieri,-0.153,0.4767,24,False
Sensazione di non essere l'autore delle proprie azioni,-0.105,0.6252,24,False
Dubbio tra dire e pensare,-0.139,0.5158,24,False
Guardarsi dall'esterno,-0.407,0.0482,24,True
Guardarsi da fuori dal corpo,0.078,0.7155,24,False
Perdita di controllo del corpo,-0.082,0.7049,24,False
