Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.114,0.5345,32,False
Parole lette da qualcun altro,-0.193,0.2899,32,False
Pensieri come scritti,-0.059,0.7481,32,False
Pensieri ripetuti o echeggianti,-0.342,0.0551,32,False
Perdita di contatto con se stessi,-0.313,0.0814,32,False
Non essere più la stessa persona,0.026,0.8888,32,False
Vuoto interiore,-0.162,0.3752,32,False
Pensare a se stessi come un'altra persona,-0.293,0.1039,32,False
Disconnessione da sé e dai propri pensieri,-0.05,0.7861,32,False
Sensazione di non essere l'autore delle proprie azioni,-0.248,0.1707,32,False
Dubbio tra dire e pensare,-0.261,0.1497,32,False
Guardarsi dall'esterno,-0.191,0.2962,32,False
Guardarsi da fuori dal corpo,-0.195,0.2854,32,False
Perdita di controllo del corpo,-0.254,0.1603,32,False
