Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.213,0.4125,17,False
Parole lette da qualcun altro,-0.177,0.4956,17,False
Pensieri come scritti,-0.061,0.8151,17,False
Pensieri ripetuti o echeggianti,0.043,0.8694,17,False
Perdita di contatto con se stessi,-0.362,0.153,17,False
Non essere più la stessa persona,0.077,0.7676,17,False
Vuoto interiore,0.323,0.206,17,False
Pensare a se stessi come un'altra persona,-0.038,0.8859,17,False
Disconnessione da sé e dai propri pensieri,0.129,0.6205,17,False
Sensazione di non essere l'autore delle proprie azioni,-0.123,0.639,17,False
Dubbio tra dire e pensare,-0.537,0.0263,17,True
Guardarsi dall'esterno,-0.285,0.2675,17,False
Guardarsi da fuori dal corpo,0.043,0.8705,17,False
Perdita di controllo del corpo,-0.719,0.0011,17,True
