Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.234,0.4208,14,False
Parole lette da qualcun altro,-0.113,0.7011,14,False
Pensieri come scritti,-0.263,0.3634,14,False
Pensieri ripetuti o echeggianti,-0.466,0.0931,14,False
Perdita di contatto con se stessi,0.145,0.6221,14,False
Non essere più la stessa persona,-0.633,0.0151,14,True
Vuoto interiore,0.002,0.9951,14,False
Pensare a se stessi come un'altra persona,-0.567,0.0346,14,True
Disconnessione da sé e dai propri pensieri,0.037,0.8998,14,False
Sensazione di non essere l'autore delle proprie azioni,-0.242,0.4051,14,False
Dubbio tra dire e pensare,-0.387,0.1715,14,False
Guardarsi dall'esterno,-0.099,0.7376,14,False
Guardarsi da fuori dal corpo,-0.188,0.5197,14,False
Perdita di controllo del corpo,-0.19,0.5146,14,False
