Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.292,0.3839,11,False
Parole lette da qualcun altro,-0.162,0.635,11,False
Pensieri come scritti,-0.314,0.3467,11,False
Pensieri ripetuti o echeggianti,-0.593,0.0543,11,False
Perdita di contatto con se stessi,-0.097,0.776,11,False
Non essere più la stessa persona,-0.491,0.1249,11,False
Vuoto interiore,0.038,0.9122,11,False
Pensare a se stessi come un'altra persona,-0.184,0.5886,11,False
Disconnessione da sé e dai propri pensieri,-0.216,0.5232,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.388,0.238,11,False
Dubbio tra dire e pensare,-0.638,0.0348,11,True
Guardarsi dall'esterno,-0.184,0.5886,11,False
Guardarsi da fuori dal corpo,-0.301,0.3688,11,False
Perdita di controllo del corpo,0.061,0.8583,11,False
