Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.236,0.397,15,False
Parole lette da qualcun altro,-0.384,0.1574,15,False
Pensieri come scritti,-0.235,0.3986,15,False
Pensieri ripetuti o echeggianti,-0.203,0.4687,15,False
Perdita di contatto con se stessi,0.298,0.2805,15,False
Non essere più la stessa persona,-0.101,0.7201,15,False
Vuoto interiore,0.006,0.9832,15,False
Pensare a se stessi come un'altra persona,-0.037,0.8969,15,False
Disconnessione da sé e dai propri pensieri,0.287,0.2999,15,False
Sensazione di non essere l'autore delle proprie azioni,0.467,0.079,15,False
Dubbio tra dire e pensare,0.464,0.0812,15,False
Guardarsi dall'esterno,0.35,0.2012,15,False
Guardarsi da fuori dal corpo,0.107,0.7041,15,False
Perdita di controllo del corpo,0.488,0.0651,15,False
