Variable,r,p_value,N,Significant
Pensieri generati da altri,0.038,0.9235,9,False
Parole lette da qualcun altro,0.186,0.6318,9,False
Pensieri come scritti,0.131,0.7377,9,False
Pensieri ripetuti o echeggianti,-0.349,0.3577,9,False
Perdita di contatto con se stessi,0.414,0.2676,9,False
Non essere più la stessa persona,0.157,0.6875,9,False
Vuoto interiore,,,9,False
Pensare a se stessi come un'altra persona,-0.207,0.5928,9,False
Disconnessione da sé e dai propri pensieri,0.414,0.2676,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.207,0.5928,9,False
Dubbio tra dire e pensare,-0.207,0.5928,9,False
Guardarsi dall'esterno,-0.483,0.1875,9,False
Guardarsi da fuori dal corpo,-0.052,0.8939,9,False
Perdita di controllo del corpo,-0.365,0.3336,9,False
