Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.187,0.54,13,False
Parole lette da qualcun altro,-0.446,0.1266,13,False
Pensieri come scritti,-0.481,0.0963,13,False
Pensieri ripetuti o echeggianti,-0.303,0.314,13,False
Perdita di contatto con se stessi,-0.601,0.0298,13,True
Non essere più la stessa persona,-0.754,0.0029,13,True
Vuoto interiore,0.288,0.3392,13,False
Pensare a se stessi come un'altra persona,-0.342,0.2527,13,False
Disconnessione da sé e dai propri pensieri,0.121,0.6947,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.237,0.4353,13,False
Dubbio tra dire e pensare,-0.243,0.4242,13,False
Guardarsi dall'esterno,-0.114,0.7105,13,False
Guardarsi da fuori dal corpo,0.14,0.6482,13,False
Perdita di controllo del corpo,-0.084,0.7839,13,False
