Variable,r,p_value,N,Significant
Pensieri generati da altri,0.219,0.472,13,False
Parole lette da qualcun altro,0.0,1.0,13,False
Pensieri come scritti,0.062,0.8396,13,False
Pensieri ripetuti o echeggianti,-0.273,0.3663,13,False
Perdita di contatto con se stessi,0.292,0.3327,13,False
Non essere più la stessa persona,-0.303,0.3147,13,False
Vuoto interiore,0.0,1.0,13,False
Pensare a se stessi come un'altra persona,-0.17,0.5788,13,False
Disconnessione da sé e dai propri pensieri,0.429,0.1431,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.056,0.8561,13,False
Dubbio tra dire e pensare,-0.064,0.8349,13,False
Guardarsi dall'esterno,0.134,0.6616,13,False
Guardarsi da fuori dal corpo,-0.012,0.9679,13,False
Perdita di controllo del corpo,0.109,0.7229,13,False
