Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.312,0.38,10,False
Parole lette da qualcun altro,-0.569,0.0864,10,False
Pensieri come scritti,-0.64,0.0464,10,True
Pensieri ripetuti o echeggianti,-0.052,0.8868,10,False
Perdita di contatto con se stessi,-0.15,0.6795,10,False
Non essere più la stessa persona,-0.522,0.1215,10,False
Vuoto interiore,-0.142,0.6953,10,False
Pensare a se stessi come un'altra persona,-0.731,0.0163,10,True
Disconnessione da sé e dai propri pensieri,0.0,1.0,10,False
Sensazione di non essere l'autore delle proprie azioni,-0.268,0.4541,10,False
Dubbio tra dire e pensare,-0.541,0.1064,10,False
Disallineamento tra espressione e vissuto interno,-0.047,0.8976,10,False
Guardarsi da fuori dal corpo,-0.342,0.3336,10,False
Perdita di controllo del corpo,-0.541,0.1064,10,False
