Variable,r,p_value,N,Significant
Pensieri generati da altri,0.353,0.2604,12,False
Parole lette da qualcun altro,-0.091,0.7775,12,False
Pensieri come scritti,-0.128,0.6909,12,False
Pensieri ripetuti o echeggianti,0.279,0.3799,12,False
Perdita di contatto con se stessi,-0.251,0.4306,12,False
Non essere più la stessa persona,-0.407,0.189,12,False
Vuoto interiore,-0.411,0.184,12,False
Pensare a se stessi come un'altra persona,-0.091,0.7775,12,False
Disconnessione da sé e dai propri pensieri,-0.276,0.3853,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.407,0.189,12,False
Dubbio tra dire e pensare,0.133,0.6792,12,False
Guardarsi dall'esterno,0.229,0.475,12,False
Guardarsi da fuori dal corpo,-0.366,0.2425,12,False
Perdita di controllo del corpo,0.175,0.586,12,False
