Variable,r,p_value,N,Significant
Pensieri generati da altri,0.29,0.3611,12,False
Parole lette da qualcun altro,0.483,0.1119,12,False
Pensieri come scritti,0.514,0.0873,12,False
Pensieri ripetuti o echeggianti,0.461,0.1316,12,False
Perdita di contatto con se stessi,0.412,0.1828,12,False
Non essere più la stessa persona,0.148,0.6466,12,False
Vuoto interiore,0.194,0.5451,12,False
Pensare a se stessi come un'altra persona,0.241,0.4497,12,False
Disconnessione da sé e dai propri pensieri,0.235,0.4627,12,False
Sensazione di non essere l'autore delle proprie azioni,0.048,0.8816,12,False
Dubbio tra dire e pensare,0.362,0.2478,12,False
Disallineamento tra espressione e vissuto interno,0.218,0.4954,12,False
Guardarsi da fuori dal corpo,-0.084,0.7961,12,False
Perdita di controllo del corpo,0.514,0.0873,12,False
