Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.045,0.833,24,False
Parole lette da qualcun altro,0.296,0.1601,24,False
Pensieri come scritti,-0.106,0.6221,24,False
Pensieri ripetuti o echeggianti,-0.304,0.1487,24,False
Perdita di contatto con se stessi,-0.06,0.7813,24,False
Non essere più la stessa persona,0.062,0.7729,24,False
Vuoto interiore,-0.074,0.7299,24,False
Pensare a se stessi come un'altra persona,0.156,0.4675,24,False
Disconnessione da sé e dai propri pensieri,-0.188,0.3794,24,False
Sensazione di non essere l'autore delle proprie azioni,0.036,0.8679,24,False
Dubbio tra dire e pensare,0.136,0.5257,24,False
Guardarsi dall'esterno,0.009,0.967,24,False
Guardarsi da fuori dal corpo,0.199,0.3507,24,False
Perdita di controllo del corpo,-0.102,0.635,24,False
