Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.268,0.2983,17,False
Parole lette da qualcun altro,-0.124,0.635,17,False
Pensieri come scritti,0.084,0.7492,17,False
Pensieri ripetuti o echeggianti,0.187,0.4733,17,False
Perdita di contatto con se stessi,-0.327,0.2008,17,False
Non essere più la stessa persona,0.026,0.9217,17,False
Vuoto interiore,0.446,0.0726,17,False
Pensare a se stessi come un'altra persona,0.005,0.9852,17,False
Disconnessione da sé e dai propri pensieri,-0.061,0.816,17,False
Sensazione di non essere l'autore delle proprie azioni,-0.088,0.7382,17,False
Dubbio tra dire e pensare,-0.442,0.0755,17,False
Guardarsi dall'esterno,-0.229,0.3775,17,False
Guardarsi da fuori dal corpo,0.423,0.0906,17,False
Perdita di controllo del corpo,-0.451,0.0692,17,False
