Variable,r,p_value,N,Significant
Pensieri generati da altri,0.004,0.9903,12,False
Parole lette da qualcun altro,-0.092,0.7765,12,False
Pensieri come scritti,-0.145,0.6523,12,False
Pensieri ripetuti o echeggianti,-0.251,0.4307,12,False
Perdita di contatto con se stessi,0.026,0.9349,12,False
Non essere più la stessa persona,0.148,0.646,12,False
Vuoto interiore,0.123,0.7042,12,False
Pensare a se stessi come un'altra persona,-0.124,0.7015,12,False
Disconnessione da sé e dai propri pensieri,-0.592,0.0424,12,True
Sensazione di non essere l'autore delle proprie azioni,-0.128,0.6912,12,False
Dubbio tra dire e pensare,0.195,0.5426,12,False
Guardarsi dall'esterno,0.481,0.1132,12,False
Guardarsi da fuori dal corpo,-0.028,0.932,12,False
Perdita di controllo del corpo,-0.282,0.3744,12,False
