Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.075,0.8266,11,False
Parole lette da qualcun altro,0.128,0.7074,11,False
Pensieri come scritti,-0.035,0.9196,11,False
Pensieri ripetuti o echeggianti,-0.311,0.3514,11,False
Perdita di contatto con se stessi,0.15,0.6599,11,False
Non essere più la stessa persona,-0.412,0.2082,11,False
Vuoto interiore,0.187,0.5815,11,False
Pensare a se stessi come un'altra persona,0.193,0.5701,11,False
Disconnessione da sé e dai propri pensieri,-0.482,0.1334,11,False
Sensazione di non essere l'autore delle proprie azioni,-0.079,0.8181,11,False
Dubbio tra dire e pensare,-0.321,0.3354,11,False
Guardarsi dall'esterno,0.032,0.9253,11,False
Guardarsi da fuori dal corpo,0.02,0.9527,11,False
Perdita di controllo del corpo,0.469,0.1451,11,False
