Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.218,0.4344,15,False
Parole lette da qualcun altro,-0.193,0.4905,15,False
Pensieri come scritti,0.019,0.9459,15,False
Pensieri ripetuti o echeggianti,-0.025,0.9291,15,False
Perdita di contatto con se stessi,0.266,0.3372,15,False
Non essere più la stessa persona,-0.107,0.704,15,False
Vuoto interiore,0.131,0.6411,15,False
Pensare a se stessi come un'altra persona,0.122,0.6638,15,False
Disconnessione da sé e dai propri pensieri,0.385,0.1566,15,False
Sensazione di non essere l'autore delle proprie azioni,0.492,0.0623,15,False
Dubbio tra dire e pensare,0.041,0.8842,15,False
Guardarsi dall'esterno,0.383,0.1585,15,False
Guardarsi da fuori dal corpo,0.081,0.7754,15,False
Perdita di controllo del corpo,0.433,0.1065,15,False
