Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.495,0.1756,9,False
Parole lette da qualcun altro,0.296,0.4391,9,False
Pensieri come scritti,-0.315,0.4084,9,False
Pensieri ripetuti o echeggianti,-0.852,0.0035,9,True
Perdita di contatto con se stessi,0.42,0.2609,9,False
Non essere più la stessa persona,0.264,0.4919,9,False
Vuoto interiore,,,9,False
Pensare a se stessi come un'altra persona,-0.07,0.8581,9,False
Disconnessione da sé e dai propri pensieri,0.42,0.2609,9,False
Sensazione di non essere l'autore delle proprie azioni,-0.07,0.8581,9,False
Dubbio tra dire e pensare,-0.42,0.2609,9,False
Guardarsi dall'esterno,-0.42,0.2609,9,False
Guardarsi da fuori dal corpo,0.0,1.0,9,False
Perdita di controllo del corpo,0.053,0.8925,9,False
