Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.349,0.2423,13,False
Parole lette da qualcun altro,-0.202,0.5084,13,False
Pensieri come scritti,-0.122,0.6923,13,False
Pensieri ripetuti o echeggianti,-0.491,0.0882,13,False
Perdita di contatto con se stessi,-0.42,0.1536,13,False
Non essere più la stessa persona,-0.568,0.0428,13,True
Vuoto interiore,-0.107,0.7282,13,False
Pensare a se stessi come un'altra persona,-0.369,0.2154,13,False
Disconnessione da sé e dai propri pensieri,0.206,0.4992,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.252,0.406,13,False
Dubbio tra dire e pensare,-0.401,0.1739,13,False
Guardarsi dall'esterno,-0.115,0.7089,13,False
Guardarsi da fuori dal corpo,0.234,0.4414,13,False
Perdita di controllo del corpo,0.021,0.9451,13,False
