Variable,r,p_value,N,Significant
Pensieri generati da altri,0.122,0.6916,13,False
Parole lette da qualcun altro,-0.145,0.6357,13,False
Pensieri come scritti,0.08,0.7943,13,False
Pensieri ripetuti o echeggianti,-0.233,0.4431,13,False
Perdita di contatto con se stessi,0.264,0.3826,13,False
Non essere più la stessa persona,-0.051,0.8698,13,False
Vuoto interiore,0.049,0.8734,13,False
Pensare a se stessi come un'altra persona,-0.277,0.3603,13,False
Disconnessione da sé e dai propri pensieri,0.159,0.603,13,False
Sensazione di non essere l'autore delle proprie azioni,-0.19,0.5348,13,False
Dubbio tra dire e pensare,-0.317,0.2913,13,False
Guardarsi dall'esterno,-0.022,0.942,13,False
Guardarsi da fuori dal corpo,-0.096,0.754,13,False
Perdita di controllo del corpo,-0.064,0.8348,13,False
