Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.244,0.4968,10,False
Parole lette da qualcun altro,-0.883,0.0007,10,True
Pensieri come scritti,-0.405,0.2462,10,False
Pensieri ripetuti o echeggianti,-0.004,0.9902,10,False
Perdita di contatto con se stessi,0.314,0.3769,10,False
Non essere più la stessa persona,-0.18,0.6184,10,False
Vuoto interiore,0.294,0.4092,10,False
Pensare a se stessi come un'altra persona,-0.649,0.0425,10,True
Disconnessione da sé e dai propri pensieri,0.294,0.4092,10,False
Sensazione di non essere l'autore delle proprie azioni,-0.125,0.7311,10,False
Dubbio tra dire e pensare,-0.086,0.8129,10,False
Disallineamento tra espressione e vissuto interno,0.18,0.6181,10,False
Guardarsi da fuori dal corpo,-0.472,0.1686,10,False
Perdita di controllo del corpo,-0.086,0.8129,10,False
