Variable,r,p_value,N,Significant
Pensieri generati da altri,0.053,0.871,12,False
Parole lette da qualcun altro,-0.326,0.3007,12,False
Pensieri come scritti,-0.131,0.6859,12,False
Pensieri ripetuti o echeggianti,0.049,0.8796,12,False
Perdita di contatto con se stessi,-0.055,0.8644,12,False
Non essere più la stessa persona,-0.189,0.5567,12,False
Vuoto interiore,-0.273,0.3909,12,False
Pensare a se stessi come un'altra persona,-0.326,0.3007,12,False
Disconnessione da sé e dai propri pensieri,-0.515,0.0864,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.189,0.5567,12,False
Dubbio tra dire e pensare,-0.098,0.7615,12,False
Guardarsi dall'esterno,-0.113,0.7276,12,False
Guardarsi da fuori dal corpo,-0.185,0.5644,12,False
Perdita di controllo del corpo,0.399,0.1992,12,False
