Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.421,0.1731,12,False
Parole lette da qualcun altro,-0.074,0.8186,12,False
Pensieri come scritti,-0.1,0.7562,12,False
Pensieri ripetuti o echeggianti,-0.026,0.9354,12,False
Perdita di contatto con se stessi,0.06,0.8534,12,False
Non essere più la stessa persona,-0.349,0.2661,12,False
Vuoto interiore,-0.1,0.758,12,False
Pensare a se stessi come un'altra persona,-0.322,0.3077,12,False
Disconnessione da sé e dai propri pensieri,0.057,0.8612,12,False
Sensazione di non essere l'autore delle proprie azioni,-0.322,0.3077,12,False
Dubbio tra dire e pensare,0.112,0.7296,12,False
Disallineamento tra espressione e vissuto interno,-0.358,0.2529,12,False
Guardarsi da fuori dal corpo,-0.257,0.4196,12,False
Perdita di controllo del corpo,-0.1,0.7562,12,False
