Variable,r,p_value,N,Significant
Pensieri generati da altri,0.108,0.5498,33,False
Parole lette da qualcun altro,-0.132,0.4629,33,False
Pensieri come scritti,-0.182,0.3116,33,False
Pensieri ripetuti o echeggianti,0.054,0.7653,33,False
Perdita di contatto con se stessi,0.249,0.1621,33,False
Non essere più la stessa persona,0.038,0.8318,33,False
Vuoto interiore,-0.131,0.4667,33,False
Pensare a se stessi come un'altra persona,-0.198,0.27,33,False
Disconnessione da sé e dai propri pensieri,-0.001,0.9967,33,False
Sensazione di non essere l'autore delle proprie azioni,-0.211,0.2396,33,False
Dubbio tra dire e pensare,-0.321,0.0684,33,False
Guardarsi dall'esterno,0.051,0.7791,33,False
Guardarsi da fuori dal corpo,-0.168,0.3487,33,False
Perdita di controllo del corpo,0.01,0.9557,33,False
